"quote","author","source"
"It's like everyone's born an artist, and born confident, and everything's taken away from you.","Kanye West","https://www.thefader.com/2013/10/23/kanye-west-unedited-the-complete-fader-interview-2008"
"My whole life I've never really been that talented at anything except for working at something to the point where it was good.","Kanye West","https://www.thefader.com/2013/10/23/kanye-west-unedited-the-complete-fader-interview-2008"
"Time is the only luxury. It's the only thing you can't get back.","Kanye West","https://www.vice.com/en_us/article/d745yj/9-quotes-on-creativity-from-kanye-wests-oxford-speech"
"We're all works in progress. We're paintings. The oil don't dry till we die.","Kanye West","https://www.complex.com/style/2013/11/kanye-west-quotes-creativity"
"I don't care about my name as much as I care about my ideas.","Kanye West","https://www.wmagazine.com/story/kanye-west-on-kim-kardashian-and-his-new-album-yeezus"
"All of my problems that I had, all roads led back to liquor somehow. I made my job so much harder.","Royce da 5'9""","https://andscape.com/features/royce-da-59-on-sobriety-boxing-and-why-he-stopped-watching-nba-games/"
"I've arrived at a place where whatever I'm writing down, if it comes from the heart, it really shouldn't take me a lot of time to think about it.","Royce da 5'9""","https://andscape.com/features/royce-da-59-on-sobriety-boxing-and-why-he-stopped-watching-nba-games/"
"It's easier to open up and let it flow like I'm in therapy than it is to try to come up with punchlines.","Royce da 5'9""","https://andscape.com/features/royce-da-59-on-sobriety-boxing-and-why-he-stopped-watching-nba-games/"
"Every artist should have at least one album where you feel like you know the individual you're listening to after listening to the music.","Royce da 5'9""","https://andscape.com/features/royce-da-59-on-sobriety-boxing-and-why-he-stopped-watching-nba-games/"
"Since I've been sober I've been so comfortable in my skin now.","Royce da 5'9""","https://thesource.com/2018/03/13/royce-da-59-talks-being-sober-kanye-west-beef-and-joe-budden-on-rap-radar/"
"Art saved me from becoming a statistic, as so many of my friends and family members and neighbors and just so many of my contemporaries had and have become.","Black Thought","https://www.pbs.org/newshour/show/tariq-black-thought-trotter-on-his-impact-on-hip-hop-and-new-memoir-the-upcycled-self"
"It's about understanding the difference between that which needs to be abandoned and that which needs to be put to a different use.","Black Thought","https://www.pbs.org/newshour/show/tariq-black-thought-trotter-on-his-impact-on-hip-hop-and-new-memoir-the-upcycled-self"
"It's not always comfortable to lean into your talents and to lean into your graces, but it's sort of our responsibility as artists.","Black Thought","https://www.pbs.org/newshour/show/tariq-black-thought-trotter-on-his-impact-on-hip-hop-and-new-memoir-the-upcycled-self"
"Art has been my saving grace, my salvation, absolutely.","Black Thought","https://www.cbsnews.com/news/the-roots-tariq-trotter-black-thought-art-saving-grace-my-salvation/"
"I haven't failed myself yet. Am I always at my best? No, but my worst is the next man's treasure.","Black Thought","https://www.cbsnews.com/news/the-roots-tariq-trotter-black-thought-art-saving-grace-my-salvation/"
"You can't force art; you can't force your creativity. It has to happen naturally on your time, on your accord.","Ab-Soul","https://www.theringer.com/2022/12/20/music/ab-soul-new-album-herbert-interview"
"I've been through a lot, man. I took a lot of losses. I had a lot of wins. And it all happened for a reason, I feel, to prepare me for what's to come.","Ab-Soul","https://www.theringer.com/2022/12/20/music/ab-soul-new-album-herbert-interview"
"I tried to remove a lot of my arrogance with this album. My ego. And just put it in God's hands and hope for the best.","Ab-Soul","https://www.theringer.com/2022/12/20/music/ab-soul-new-album-herbert-interview"
"It is a miracle I am still here. I'm grateful.","Ab-Soul","https://www.theringer.com/2022/12/20/music/ab-soul-new-album-herbert-interview"
"Obviously I wasn't born privileged or with success in easy reach. So I had to develop into the man that I've become.","ASAP Rocky","https://www.thegentlemansjournal.com/article/asap-rocky-interview/"
"It's been a long night, long day, long few years, man. But that's the way I like it.","ASAP Rocky","https://www.thegentlemansjournal.com/article/asap-rocky-interview/"
"I really thought I was special enough to end. I was kind of upset when I turned 28.","ASAP Rocky","https://www.thegentlemansjournal.com/article/asap-rocky-interview/"
"Home is anywhere that I have my lady and my children — that is home.","ASAP Rocky","https://www.dazeddigital.com/beauty/article/60980/1/asap-rocky-interview-gucci-new-album-2023"
"Being able to flip things and make it your own and make an origin out of it and start something new, that's the trick and that's the magic within it all — creating an expression and expressing yourself.","ASAP Rocky","https://www.dazeddigital.com/beauty/article/60980/1/asap-rocky-interview-gucci-new-album-2023"
"Man, when it's the time, it's the time. It's almost like life is a school, and when you die, it's graduation.","Danny Brown","https://www.rollingstone.com/music/music-features/danny-brown-drugs-rehab-new-album-1234800909/"
"I didn't know how long I was going to be living.","Danny Brown","https://www.rollingstone.com/music/music-features/danny-brown-drugs-rehab-new-album-1234800909/"
"I didn't love myself at the time, so it was impossible for me to love anything else.","Danny Brown","https://www.nme.com/features/music-interviews/danny-brown-stardust-hyperpop-interview-3905040"
"That's when I stopped trying to be like everybody else and realised I could be myself.","Danny Brown","https://www.nme.com/features/music-interviews/danny-brown-stardust-hyperpop-interview-3905040"
"I had to go into a different mode and write from a different perspective.","Danny Brown","https://www.nme.com/features/music-interviews/danny-brown-stardust-hyperpop-interview-3905040"
"The lines were blurry at the beginning. And as my career developed — as I developed as a man — it's become very clear that Abel is someone I go home to every night. And The Weeknd is someone I go to work as.","The Weeknd","https://www.gq.com/story/the-weeknd-september-cover-interview"
"Drugs were a crutch. It was me thinking that I needed it. And not doing the work to figure out how not to need it.","The Weeknd","https://www.gq.com/story/the-weeknd-september-cover-interview"
"This is my first time even opening up to anything, because I had to spend the last decade invested in this project, the Weeknd. It really does consume me.","The Weeknd","https://www.rollingstone.com/music/music-features/the-weeknd-after-hours-grammys-interview-1061041/"
"I tell my friends all the time it feels like my career is just starting. I feel like it took me 10 years to break out of that shell.","The Weeknd","https://www.rollingstone.com/music/music-features/the-weeknd-after-hours-grammys-interview-1061041/"
"It might not be my best album. It might not be what people gravitate towards the most in the future. Hopefully it is. But to me, it's definitely my most perfect album.","The Weeknd","https://www.rollingstone.com/music/music-features/the-weeknd-after-hours-grammys-interview-1061041/"
"All I do is facilitate. I really am a janitor.","Kenny Beats","https://www.nme.com/features/music-interviews/kenny-beats-interview-denzel-curry-rico-nasty-idles-the-cave-2623803"
"I always had this ego where if I ever wanted to come back to doing rap, I could do that. That was not true. I would get stuck, I would be in a room and someone would ask me for something and I didn't have it.","Kenny Beats","https://www.dazeddigital.com/music/article/46394/1/kenny-beats-how-to-produce-a-legendary-rap-freestyle-interview"
"The biggest thing Rick Rubin taught me is that you don't get any extra credit by doing everything yourself.","Kenny Beats","https://www.dazeddigital.com/music/article/46394/1/kenny-beats-how-to-produce-a-legendary-rap-freestyle-interview"
"As soon as you think, 'Oh, I'm a really good producer, I'm gonna show these young rap kids how to make a really clean, hot rap beat'... You just missed the fucking point.","Kenny Beats","https://www.thefader.com/2018/06/04/kenny-beats-loudpvck-777-smack-a-bitch-beat-construction-interview"
"I don't have an agenda. My agenda is to take someone and bring out their dreams.","Kenny Beats","https://www.rollingstone.com/music/music-features/kenny-beats-rap-03-greedo-vince-staples-rico-nasty-770433/"
"I've had the most unique career path of any rapper on my level because I slugged it out so many years independently.","Freddie Gibbs","https://www.rollingstone.com/music/music-features/freddie-gibbs-interview-new-album-1234601948/"
"I probably been having fun rapping the past five years, but before that, I was rapping for a necessity, because I had to.","Freddie Gibbs","https://www.rollingstone.com/music/music-features/freddie-gibbs-interview-new-album-1234601948/"
"I had to take a lot of risks to get here. And Soul Sold Separately, I just feel like that just culminates all the risks that I took.","Freddie Gibbs","https://www.rollingstone.com/music/music-features/freddie-gibbs-interview-new-album-1234601948/"
"It's natural. If you sit there and think about it too much, your shit probably whack.","Madlib","https://www.redbullmusicacademy.com/lectures/madlib-2016/"
"I don't like shit too perfect. I like some human mistake in my shit.","Madlib","https://www.redbullmusicacademy.com/lectures/madlib-2016/"
"I shut off from the world. It's just something you can't try to do. It's just something that happens.","Madlib","https://www.redbullmusicacademy.com/lectures/madlib-2016/"
"I like spaces. I love experiences. I love things that make you come alive.","Travis Scott","https://www.rollingstone.com/music/music-features/travis-scott-utopia-fatherhood-next-album-1235500436/"
"I want them to know I have pain too. I have concerns, things that I think about, and the things I see on a day-to-day basis I think about them. And every day I want to find change in the things, to make things better, make myself better.","Travis Scott","https://www.gq.com/story/travis-scott-men-of-the-year-2023-cover-story"
"I go through things like everyone else. And even recently through something like I never could imagine.","Travis Scott","https://www.gq.com/story/travis-scott-men-of-the-year-2023-cover-story"
"I'm okay with the things that I've lost, because I've gained more than what I lost.","Erick the Architect","https://www.rollingstone.com/music/music-features/erick-the-architect-ive-never-been-here-before-1234902646/"
"I'm always serving other people with my ideas, and eventually I have to be a little selfish and do that for myself. And I never made time for myself before.","Erick the Architect","https://www.bkmag.com/2024/04/08/erick-the-architect/"
"I'm being so honest. If my honesty makes you uncomfortable, then I'm not the artist for you.","Erick the Architect","https://www.bkmag.com/2024/04/08/erick-the-architect/"
"My goal was not to be heroic, but to be human — the opposite of what goes down on social media and this fast-paced world where everyone wants to be the one and puts on fronts to make it look good.","Zombie Juice","https://www.bkmag.com/2023/05/16/zombie-juice-wants-you-to-know-its-okay-to-feel/"
"I want them to enjoy it, hopefully relate to it, replay it over and over and know it's okay to feel. We don't have to be emotionless. Let's process things.","Zombie Juice","https://www.bkmag.com/2023/05/16/zombie-juice-wants-you-to-know-its-okay-to-feel/"
"If you care enough, you need to figure out how your person needs to receive love so that they can feel safe and so that they can feel honored.","Zombie Juice","https://officemagazine.net/zombie-juice-chooses-love"
"Grief is a very complicated thing. There's no handbook on how to, and if there is, it's bullshit.","Meechy Darko","https://www.thelineofbestfit.com/features/interviews/meechy-darko-rewriting-history"
"The dark cloud is hovering over me but it's not going to stop me from doing what I'm doing.","Meechy Darko","https://www.thelineofbestfit.com/features/interviews/meechy-darko-rewriting-history"
"I see the power in what I say. I gotta make sure to do it the right way when I'm touching certain topics.","Meechy Darko","https://www.clashmusic.com/features/for-the-first-time-ever-i-see-the-power-in-what-i-say-meechy-darko-on-his-solo-debut/"
"I've reached the point in my life where I'm like, 'How long am I gonna be doing this for?' I'm starting to realize like, oh shit — let's say I stopped this year. I would feel like I missed out on certain experiences, working with certain artists, being more collaborative, making more friends out of peers, making certain memories that I feel like if I don't, I'm gonna regret it one day.","J. Cole","https://www.gq.com/story/j-cole-cover-story-april-2019"
"I'm not supposed to have a Grammy, you know what I mean? At least not right now, and maybe never. And if that happens, then that's just how it was supposed to be.","J. Cole","https://www.gq.com/story/j-cole-cover-story-april-2019"
"I've been so secluded within myself that people think I don't like anybody, that I won't work with anybody.","J. Cole","https://www.gq.com/story/j-cole-cover-story-april-2019"
"There are people who come into your life, and they enjoy the best of you, the nice version from the first few months, and then they leave.","Bad Bunny","https://www.rollingstone.com/music/music-features/bad-bunny-puerto-rico-new-album-acting-interview-1235227338/"
"That's what makes me human. I think people are used to artists getting big and mainstream and not expressing themselves about these things.","Bad Bunny","https://www.rollingstone.com/music/music-features/bad-bunny-puerto-rico-new-album-acting-interview-1235227338/"
"I'm a Gemini. I believe that I have different sides, and I pick and choose which one I feel is right for the right track and right for the right mood.","Don Toliver","https://www.complex.com/music/a/frazier-tharpe/don-tolliver-interview-no-idea"
"It's just like a big turnaround in my life, from where I was to where I'm at right now. I'm definitely grateful and feeling real grace, for real.","Don Toliver","https://www.complex.com/music/a/frazier-tharpe/don-tolliver-interview-no-idea"
"I think I can bring people joy and light while also bringing them some place to feel mourning or anger, outrage, sadness. All those things.","Aaron Frazer","https://www.nepm.org/2021-01-10/on-introducing-aaron-frazer-contemplates-love-and-the-road-ahead"
"Given that so many artists who have come before me, especially artists of color, have given me so much, I feel like I have a platform and I want to use it.","Aaron Frazer","https://www.nepm.org/2021-01-10/on-introducing-aaron-frazer-contemplates-love-and-the-road-ahead"
"I'm many things, and I want to be able to show people the full dimension of myself and not worry about labels.","Aaron Frazer","https://glidemagazine.com/253145/aaron-frazer-of-durand-jones-the-indications-talks-new-solo-lp-working-with-dan-auerbach-classic-soul-inspiration-and-more-interview/"
"Four years ago, I was on a rough path. It was terrible. Getting up, having a good cry, drinking, and then going living your life, and then whenever you go lay down, drinking some more and having a good cry.","Post Malone","https://www.rollingstone.com/music/music-news/post-malone-daughter-saved-life-1235078111/"
"I don't feel like that anymore, and it's the most amazing thing.","Post Malone","https://www.rollingstone.com/music/music-news/post-malone-daughter-saved-life-1235078111/"
"I think I'm in a different place than I thought I would be, but I think I'm in a place that Malcolm as a human being wanted.","Mac Miller","https://www.vulture.com/2018/09/mac-miller-swimming-interview.html"
"My goal is trying to find some type of comfort. I think the last wish I made was for peace of mind, probably.","Mac Miller","https://www.vulture.com/2018/09/mac-miller-swimming-interview.html"
"No one's ever gonna really know me... and that's OK.","Mac Miller","https://www.vulture.com/2018/09/mac-miller-swimming-interview.html"
"Who cares? It's going to go, or it's not. You only have one life, bro. Just do shit.","Lil Yachty","https://www.rollingstone.com/music/music-features/lil-yachty-lets-start-here-interview-psychedelics-1234691957/"
"The more you give, the less cool something becomes. That's what I feel like is a problem with music nowadays. Everyone is oversharing.","Lil Yachty","https://www.rollingstone.com/music/music-features/lil-yachty-lets-start-here-interview-psychedelics-1234691957/"
"I don't need acceptance from nobody. People seek too much validation.","Lil Yachty","https://www.rollingstone.com/music/music-features/lil-yachty-lets-start-here-interview-psychedelics-1234691957/"
"They made me a man. They made me strong. They made me care more about the craft — because I do.","Lil Yachty","https://www.rollingstone.com/music/music-features/lil-yachty-lets-start-here-interview-psychedelics-1234691957/"
"As long as you keep working, keep working and keep working, you will get where you wanna go.","Fre$h","https://www.complex.com/music/a/complex/short-dawg-talks-young-moneys-future-surviving-def-jam-deal"
"I wasn't moving forward and I wasn't happy. My biggest disappointment was not coming out with an album.","Fre$h","https://www.complex.com/music/a/complex/short-dawg-talks-young-moneys-future-surviving-def-jam-deal"
"You can't be hot forever. Even the best in the game. You have to reinvent yourself. And that's what I did.","Mustard","https://www.billboard.com/music/rb-hip-hop/mustard-not-like-us-producer-cover-story-1235793061/"
